"team1","name","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","team13","team14","team15","team16","team17","team18","team19","team20","team21","team22","team23","team24","seed","cost"
"120","Maryland","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120",NA,NA
"113","UMass","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113",NA,NA
"2377","McNeese","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377","2377",12,3
"235","Memphis","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235","235",NA,NA
"2382","Mercer","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382","2382",NA,NA
"2385","Mercyhurst","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385","2385",NA,NA
"2771","Merrimack","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771","2771",NA,NA
"193","Miami OH","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193","193",NA,NA
"2390","Miami","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390","2390",NA,NA
"127","Michigan St","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127","127",9,5
"130","Michigan","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130","130",NA,NA
"2393","MTSU","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393","2393",NA,NA
"270","Milwaukee","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270",NA,NA
"135","Minnesota","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135","135",NA,NA
"344","Mississippi St","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344","344",8,5
"2400","Miss Valley St","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400","2400",NA,NA
"2623","Missouri St","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623","2623",NA,NA
"142","Missouri","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142","142",NA,NA
"2405","Monmouth","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405","2405",NA,NA
"149","Montana","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149","149",NA,NA
"147","Montana St","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147","147",NA,NA
"2413","Morehead St","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413","2413",14,2
"2415","Morgan St","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415","2415",NA,NA
"116","Mount St Marys","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116","116",NA,NA
"93","Murray St","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93","93",NA,NA
